"","gene","logFC","logCPM","LR","PValue","FDR"
"6539","KIAA2013",-0.777961013088805,6.40647537311403,0.836503614889271,0.360398657113221,0.572312176678069
"6540","USF1",-1.68752065480178,5.64121828885187,0.836321835954392,0.3604508508739,0.572312176678069
"6541","ACP6",-0.880719206671167,6.42656132955891,0.835819727469065,0.360595074247012,0.572453638737345
"6542","SRP68",-0.885658142383784,6.28798656625726,0.833876631023983,0.361153950715046,0.573253229016361
"6543","POP5",1.03398231121113,5.79836896946665,0.833258733833723,0.36133192159298,0.573448062635106
"6544","AMOT",-0.879009013378708,6.36351309012804,0.832882473180213,0.361440353972473,0.573532493222825
"6545","RNF19B",-1.10553992389365,6.04507313165776,0.832014253905097,0.361690732452214,0.573826570861627
"6546","CEPT1",-0.643843554589517,6.83225233827832,0.831856667676143,0.361736203087462,0.573826570861627
"6547","RNF166",-1.68606892301434,5.68583311158761,0.831443781805902,0.361855376448027,0.573927940894503
"6548","TIMM9",0.778225687747366,6.40998942314891,0.830587679697157,0.362102650339029,0.574232425339107
"6549","TTC21A",-0.743968295116079,6.71370123745311,0.829981266560308,0.362277946029313,0.574370877381666
"6550","ARL4C",-1.09132729029858,6.06065692366029,0.829902988723319,0.362300582323759,0.574370877381666
"6551","MTMR11",-1.68083552474914,5.57354396414317,0.829019127922443,0.362556311797939,0.574616330984999
"6552","KCTD20",-0.761288701852305,6.63189532657079,0.828985375198485,0.362566082493617,0.574616330984999
"6553","CLUH",-1.07580743438721,6.28991524639061,0.828136948486051,0.362811803547027,0.574845262766559
"6554","PPCS",-1.09373008283519,5.97998679188639,0.828104350185237,0.362821249246151,0.574845262766559
"6555","CGN",-1.68888581806651,5.68210614860258,0.827003241062914,0.363140506907726,0.575263314070149
"6556","PNOC",-1.68022830009863,5.47455018248871,0.825710440220852,0.363515839976724,0.575737223002479
"6557","TMEM86B",-1.67645730040453,5.55380491726589,0.825590958048667,0.363550555780745,0.575737223002479
"6558","THPO",-1.69397448070271,5.60189551529972,0.824501552411334,0.363867296617326,0.57612994934374
"6559","ADAMTS10",0.856391668322911,6.29420799882483,0.824169890074036,0.363963802089371,0.57612994934374
"6560","CAP1",0.644218187438461,6.47927174415008,0.824165804498564,0.363964991110837,0.57612994934374
